date,hushen300,ydlMIB,xxlNZ50,nfFTSE,bxBOVESPA
2020-01-22,0.1856 ,-0.253883361,0.309902428,-0.043093963,0.503750012
2020-01-23,-1.3670 ,0.001392282,0.041730319,-0.774864736,0.414829891
2020-02-03,-3.5650 ,-0.454932276,-1.299946894,-0.821570118,-1.817300902
2020-02-04,1.1306 ,0.706640188,-0.145645982,0.762264649,0.349986925
2020-02-05,0.4893 ,0.707763812,0.347917366,0.463155107,0.176864829
2020-02-07,0.8018 ,0.430937503,0.582910453,-0.113368333,-0.853495179
2020-02-10,0.1794 ,0.052094754,-0.215782895,-0.326319196,-0.460504162
2020-02-11,0.4024 ,0.319900924,0.486939208,0.101838721,1.06713654
2020-02-12,0.3499 ,0.302192012,0.233134297,0.577625139,0.48793823
2020-02-13,-0.2680 ,0.053892455,-0.06355776,0.068807879,-0.378237149
2020-02-14,0.3039 ,-0.043884037,-0.168512331,0.019571836,-0.483941166
2020-02-17,0.9660 ,0.440540191,0.143428915,0.244149203,0.351071908
2020-02-18,-0.2126 ,0.177655016,0.225667536,-0.354699007,-0.125143894
2020-02-19,-0.0664 ,0.435214149,0.164116718,0.169961998,0.577942512
2020-02-20,0.9893 ,-0.68273598,0.302813112,-0.111029707,-0.725902444
2020-02-21,0.0506 ,-0.534907048,0.030514432,-0.344648234,-0.34429791
2020-02-26,-0.8078 ,-2.4347243,-1.98527555,-1.769374882,-3.153935997
2020-02-27,0.1263 ,-1.17111427,-0.365609913,-1.282953331,-1.13823134
2020-02-28,-1.5678 ,-1.581198268,-0.67354474,-2.001052075,0.498139322
2020-03-02,1.4057 ,-0.655087089,-0.612597006,0.677056761,1.011150455
2020-03-03,0.2309 ,0.186332516,0.939748607,0.926459832,-0.445539329
2020-03-04,0.2507 ,0.393265035,0.272702564,-0.025511847,0.688757481
2020-03-05,0.9570 ,-0.781035914,0.840451473,0.007811006,-2.070077088
2020-03-06,-0.7101 ,-1.548457119,-0.809576663,-0.720979962,-1.838036331
2020-03-09,-1.5096 ,-5.145520017,-1.288799716,-2.794976519,-5.637408705
2020-03-10,0.9202 ,-1.447691102,-0.76767395,0.571310902,2.996140009
2020-03-11,-0.5815 ,0.141841982,-0.095232926,-0.34546259,-3.450666526
2020-03-12,-0.8439 ,-8.052316756,-2.213557555,-4.441451206,-6.946030697
2020-03-13,-0.6155 ,2.985330264,-2.182300845,-0.123532945,5.655738737
2020-03-16,-1.9085 ,-2.735581152,-1.57466378,-3.774492397,-6.510442329
2020-03-17,-0.2121 ,0.958880848,-0.193819455,1.142260859,2.055411463
2020-03-18,-0.8682 ,-0.554490081,0.092654405,-3.223789134,-4.744584752
2020-03-19,-0.5671 ,0.983966509,-1.592220181,-0.728156749,0.922952762
2020-03-20,0.7691 ,0.737455368,0.413095943,2.564255887,-0.809869892
2020-03-23,-1.4863 ,-0.477578642,-3.451273903,-2.217639853,-2.327454681
2020-03-24,1.1508 ,3.71298197,3.012535452,3.153617976,4.016569007
2020-03-25,1.1516 ,0.74961247,0.73385067,0,3.138860568
2020-03-26,-0.2864 ,0.315436176,1.692130475,3.929662744,1.567109771
2020-03-27,0.1408 ,-1.389145615,-0.342834875,-2.072849376,-2.460869623
2020-03-30,-0.4229 ,0.128425979,0.472130682,0.469498746,0.710229252
2020-03-31,0.1422 ,0.457120595,0.605140241,1.063933126,-0.952820391
2020-04-01,-0.1307 ,-1.308234216,0.569574553,-0.746172287,-1.238579048
2020-04-02,0.6969 ,0.752211278,-0.243597831,1.299412868,0.780403827
2020-04-03,-0.2485 ,-1.175888007,0.283394703,-0.447563793,-1.66392013
2020-04-07,0.9807 ,2.641245787,-0.551337308,2.734141969,4.063560886
2020-04-08,-0.2026 ,-0.077141267,0.971043758,-0.744067565,1.270350294
2020-04-09,0.1430 ,0.597556977,-0.294344412,1.212287361,-0.523849653
2020-04-14,0.3750 ,-0.156015116,0.842245511,1.653282455,1.232650023
2020-04-15,-0.3229 ,-2.127356444,1.059641105,-1.392000207,-0.594699318
2020-04-16,0.0574 ,0.127277522,0.263075602,-0.050533891,-0.565382908
2020-04-17,0.4218 ,0.737880051,1.248820797,0.793456586,0.652796735
2020-04-20,0.1577 ,0.022071373,-0.064716601,-0.252756614,-0.009639194
2020-04-22,-0.1590 ,-0.76735945,-1.414942815,-0.663857491,0.932705943
2020-04-23,-0.1091 ,0.632184184,0.118399856,1.327588626,-0.549157011
2020-04-24,-0.3733 ,-0.390367589,-0.110854937,-0.065357292,-2.434132144
2020-04-28,0.5928 ,2.058327015,1.394846634,0.437969282,3.318438761
2020-04-29,0.2013 ,0.948076836,-0.378519608,0.7129141,0.981500706
2020-04-30,0.5086 ,-0.915315314,-0.549557871,-0.446795991,-1.414322334
2020-05-06,0.2619 ,-1.324004211,0.16779231,-0.437668228,-0.785063092
2020-05-07,-0.1255 ,0.216438578,0.312654692,0.163285195,-0.52227399
2020-05-08,0.4265 ,0.486484265,0.188653958,0.845957814,1.176299748
2020-05-11,-0.0377 ,-0.1445294,0.261922961,-0.687228819,-0.653520407
2020-05-12,0.0007 ,0.442393876,0.234989765,0.100716772,-0.660102807
2020-05-13,0.0878 ,-0.939758266,-0.123172829,-0.144685051,-0.055666571
2020-05-14,-0.4735 ,-0.80526977,-0.172925879,-0.909169602,0.686212976
2020-05-15,-0.1374 ,-0.039694286,-0.058564275,0.453608044,-0.80676403
2020-05-18,0.1118 ,1.392496774,0.110187382,1.50784377,1.990661469
2020-05-19,0.3675 ,-0.925502759,0.129796183,0.477521034,-0.242410313
2020-05-20,-0.2315 ,0.452893372,-0.00837264,0.160720978,0.309304728
2020-05-21,-0.2371 ,-0.319199968,-0.228089985,-0.942998463,0.902538404
2020-05-22,-1.0073 ,0.578750601,-0.279811418,-0.751717188,-0.448956418
2020-05-25,0.0597 ,0.695663472,0.458518306,-0.06326692,1.806546072
2020-05-26,0.4900 ,0.648115489,0.55638726,0.455786721,-0.098754787
2020-05-27,-0.3056 ,0.120900794,0.531704685,-0.091542638,1.240916065
2020-05-28,0.1243 ,1.056187377,-0.763300446,0.761463362,-0.495228493
2020-05-29,0.1168 ,-0.365036177,0.102764689,-0.772602542,0.225926119
2020-06-02,1.2896 ,1.807912438,0.601458658,1.698817232,1.773838068
2020-06-03,0.0009 ,1.508922133,0.329754568,0.939818874,0.923025894
2020-06-04,-0.0159 ,-0.017205545,0.406400709,-0.358078306,0.384234075
2020-06-05,0.2074 ,1.207330456,-0.198351364,1.221424421,0.372595739
2020-06-08,0.2241 ,0.094275258,1.349156949,-0.030216154,1.3587302
2020-06-09,0.2700 ,-0.651385051,-0.858118619,-0.159797673,-0.401305507
2020-06-10,-0.0786 ,-0.376845597,-0.146964687,-0.651196273,-0.934980846
2020-06-12,-0.3956 ,-1.955354794,-1.389534223,-0.026702213,-0.875983874
2020-06-15,-0.5249 ,0.186142306,-0.166855007,-1.123169261,-0.19689436
2020-06-17,0.6820 ,1.389223503,1.84005327,1.436006711,1.466147757
2020-06-18,0.2886 ,-0.222596188,-0.419790395,-0.069346418,0.261906343
2020-06-19,0.5795 ,0.295796846,0.113828393,0.227399043,0.201423829
2020-06-22,0.0354 ,-0.311467987,-0.373120571,0.004621067,-0.55949313
2020-06-23,0.2085 ,0.801561463,-0.100843624,0.985579704,0.290210068
2020-06-24,0.1809 ,-1.511320606,0.491980911,-0.811698476,-0.729102006
2020-06-29,-0.3082 ,0.639001451,-0.026506839,-0.244949433,0.620450463
2020-06-30,0.5694 ,-0.159969392,0.759474556,0.176801842,-0.309361672
2020-07-01,0.8655 ,-0.100174205,-0.383911834,-0.461516681,0.521080554
2020-07-02,0.8911 ,1.231502828,0.578680443,0.664621694,0.014335195
2020-07-03,0.8310 ,-0.351331398,0.211599493,-0.075837047,0.238475759
2020-07-06,2.3942 ,0.666793714,0.364837115,0.25761946,0.964181202
2020-07-07,0.2600 ,-0.04160252,0.324869468,0.313636783,-0.519362672
2020-07-08,0.6957 ,-0.246243204,-0.327216825,0.490049059,0.883363684
2020-07-09,0.6032 ,-0.867571244,-0.807445913,-0.064402115,-0.266148646
2020-07-10,-0.7935 ,0.578683783,-0.175043674,-0.289002748,0.380025053
2020-07-13,0.9027 ,0.514661831,0.151919949,0.608215633,-0.583399789
2020-07-14,-0.4161 ,-0.268964421,0.224828939,-0.519625727,0.76034825
2020-07-15,-0.5658 ,0.868658366,0.437518832,0.324130646,0.579971977
2020-07-16,-2.1410 ,0.15968601,-0.396278301,-0.169243482,-0.531121986
2020-07-17,0.2727 ,0.134840168,0.29715355,0.141871699,0.996958203
2020-07-20,1.2768 ,0.427706729,-0.14533202,0.273762797,0.644440113
2020-07-21,0.0995 ,0.214159759,0.714001069,0.120845227,-0.048531872
2020-07-22,0.2162 ,-0.261992964,-0.050946029,-0.45489452,-0.008398609
2020-07-23,-0.0185 ,-0.305348069,-0.10964762,0.183536895,-0.83936451
